original_string,recode_column
china's,china
p\\.r\\.china,china
中国,china
北京市,beijing
北京,beijing
上海,shanghai
广东,guangdong
深圳,shenzhen
广州,guangzhou
四川,sichuan
杭州,hangzhou
浙江,zhejiang
成都,chengdu
朝阳,chaoyang
湖北,hubei
武汉,wuhan
江苏,jiangsu
南京,nanjing
湖南,hunan
长沙,changsha
海 淀,haidian
浙江 杭州,hangzhou zhejiang
广州 市,guangzhou city china
海 淀,haiden china
淀 区,dian district china
新 区,new district china
沙坪坝区 ,shapingba district china
省,province
区,district
海,sea
市,city
санкт петербург,saint petersburg russia
", ak",", alaska"
", al",", alabama"
", ar",", arkansas"
", az",", arizona"
", ca",", california"
", co",", colorado"
", ct",", connecticut"
", dc",", washington dc"
", de",", delaware"
", fl",", florida"
", ga",", georgia"
", hi",", hawaii"
", ia",", iowa"
", id",", idaho"
", il",", illinois"
", in",", indiana"
", ks",", kansas"
", ky",", kentucky"
", la",", lousiana"
", ma",", massachusetts"
", md",", maryland"
", me",", maine"
", mi",", michigan"
", mn",", minnesota"
", mo",", missouri"
", ms",", mississippi"
", mt",", montana"
", nc",", north carolina"
", nd",", north dakota"
", ne",", nebraska"
", nh",", new hampshire"
", nj",", new jersey"
", nm",", new mexico"
", nv",", nevada"
", ny",", new york"
", oh",", ohio"
", ok",", oklahoma"
", or",", oregon"
", pa",", pennslyvania"
", pr",", puerto rico"
", ri",", rhode island"
", sc",", south carolina"
", sd",", south dakota"
", tn",", tennessee"
", tx",", texas"
", ut",", utah"
", va",", virginia"
", vt",", vermont"
", wa",", washington"
", wi",", wisconsin"
", wv",", west virginia"
", wy",", wyoming"
", br",", brazil"
",china", china
nyc,new york city
l\\.a\\., los angeles
u\\.s\\.,	united states
u\\.s\\.a\\.,	united states