state,state_abb2,state_abb1,latitude,longitude
Alaska,Alaska,AK,63.588753,-154.493062
Alabama,Ala.,AL,32.318231,-86.902298
Arkansas,Ark.,AR,35.20105,-91.831833
Arizona,Ariz.,AZ,34.048928,-111.093731
California,Calif.,CA,36.778261,-119.417932
Colorado,Colo.,CO,39.550051,-105.782067
Connecticut,Conn.,CT,41.603221,-73.087749
District of Columbia,D.C.,DC,38.905985,-77.033418
Delaware,Del.,DE,38.910832,-75.52767
Florida,Fla.,FL,27.664827,-81.515754
Georgia,Ga.,GA,32.157435,-82.907123
Hawaii,Hawaii,HI,19.898682,-155.665857
Iowa,Iowa,IA,41.878003,-93.097702
Idaho,Idaho,ID,44.068202,-114.742041
Illinois,Ill.,IL,40.633125,-89.398528
Indiana,Ind.,IN,40.551217,-85.602364
Kansas,Kans.,KS,39.011902,-98.484246
Kentucky,Ky.,KY,37.839333,-84.270018
Louisiana,La.,LA,31.244823,-92.145024
Massachusetts,Mass.,MA,42.407211,-71.382437
Maryland,Md.,MD,39.045755,-76.641271
Maine,Maine,ME,45.253783,-69.445469
Michigan,Mich.,MI,44.314844,-85.602364
Minnesota,Minn.,MN,46.729553,-94.6859
Missouri,Mo.,MO,37.964253,-91.831833
Mississippi,Miss.,MS,32.354668,-89.398528
Montana,Mont.,MT,46.879682,-110.362566
North Carolina,N.C.,NC,35.759573,-79.0193
North Dakota,N.D.,ND,47.551493,-101.002012
Nebraska,Nebr.,NE,41.492537,-99.901813
New Hampshire,N.H.,NH,43.193852,-71.572395
New Jersey,N.J.,NJ,40.058324,-74.405661
New Mexico,N.M.,NM,34.97273,-105.032363
Nevada,Nev.,NV,38.80261,-116.419389
New York,N.Y.,NY,43.299428,-74.217933
Ohio,Ohio,OH,40.417287,-82.907123
Oklahoma,Okla.,OK,35.007752,-97.092877
Oregon,Ore.,OR,43.804133,-120.554201
Pennsylvania,Pa.,PA,41.203322,-77.194525
Puerto Rico,P.R.,PR,18.220833,-66.590149
Rhode Island,R.I.,RI,41.580095,-71.477429
South Carolina,S.C.,SC,33.836081,-81.163725
South Dakota,S.D.,SD,43.969515,-99.901813
Tennessee,Tenn.,TN,35.517491,-86.580447
Texas,Tex.,TX,31.968599,-99.901813
Utah,Utah,UT,39.32098,-111.093731
Virginia,Va.,VA,37.431573,-78.656894
Vermont,Vt.,VT,44.558803,-72.577841
Washington,Wash.,WA,47.751074,-120.740139
Wisconsin,Wis.,WI,43.78444,-88.787868
West Virginia,W.Va.,WV,38.597626,-80.454903
Wyoming,Wyo.,WY,43.075968,-107.290284